Paper Title,Year,Venue,Research Trend Category,Input Method,Modeling/Algorithm,Application,Link
Shared control strategy for needle insertion into deformable tissue using inverse finite element simulation,2021,ICRA,improving input quality,Haptic,Input Blending; Optimization,Medical Robotics,https://ieeexplore.ieee.org/document/9561013
Hierarchical Deep Learning for Intention Estimation of Teleoperation Manipulation in Assembly Tasks,2024,ICRA,improving input quality,VR/AR,Intent/Goal Inference,Industrial Robotics,https://arxiv.org/abs/2403.19770
Controlling assistive robots with learned latent actions,2020,ICRA,minimizing input,Direct Control Interfaces,Generative Modelling,Assistive Robotics,https://arxiv.org/abs/1909.09674
Proactive Robot Control for Collaborative Manipulation Using Human Intent,2024,ICRA,improving input quality,Kinesthetic Control,Compliance Control,General Manipulation,https://arxiv.org/pdf/2311.02809
Blending primitive policies in shared control for assisted teleoperation,2022,ICRA,improving input quality,Direct Control Interfaces,Input Blending; Imitation Learning,Navigation Robotics,https://arxiv.org/abs/2204.07026
Learning human objectives from sequences of physical corrections,2021,ICRA,minimizing input,Kinesthetic Control,Supervisory; Reinforcement Learning,General Manipulation; Navigation Robotics,https://arxiv.org/pdf/2104.00078 
Unknown Object Grasping for Assistive Robotics,2024,ICRA,minimizing time,Direct Control Interfaces,Supervisory; Templates; Optimization,Assistive Robotics,https://arxiv.org/pdf/2404.15001
Adaptive Symmetry Reference Trajectory Generation in Shared Autonomy for Active Knee Orthosis,2023,RA-L,improving input quality,Physiological Signal,Input Blending,Medical Robotics,NA
Customized handling of unintended interface operation in assistive robots,2021,ICRA,improving input quality,Physiological Signal,Probabilistic Graphical Model,Assistive Robotics,https://arxiv.org/abs/2007.02092
Communicating inferred goals with passive augmented reality and active haptic feedback,2021,RA-L,improving input quality,Direct Control Interfaces,Intent/Goal Inference,Assistive Robotics,https://arxiv.org/abs/2109.01747
Cooperative assist-as-needed control for robotic rehabilitation: A two-player game approach,2023,RA-L,improving input quality,Kinesthetic Control,Optimization,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/10081000
Learning from demonstration for real-time user goal prediction and shared assistive control,2021,ICRA,improving input quality,Direct Control Interfaces,Imitation Learning; Classical ML,Assistive Robotics,https://ieeexplore.ieee.org/abstract/document/9560758
Structured action prediction for teleoperation in open worlds,2022,RA-L,minimizing input,VR/AR,Planning,General Manipulation,https://par.nsf.gov/servlets/purl/10345591
Exact-likelihood user intention estimation for scene-compliant shared-control navigation,2022,ICRA,improving input quality,Simulation/Dataset,Generative Modelling,Assistive Robotics,https://ieeexplore.ieee.org/abstract/document/9811913
Adaptive compliant skill learning for contact-rich manipulation with human in the loop,2022,RA-L,minimizing input,Haptic,Imitation Learning; Input Blending,General Manipulation,https://ieeexplore.ieee.org/abstract/document/9735337
Online estimation of articulated objects with factor graphs using vision and proprioceptive sensing,2024,ICRA,minimizing time,GUI,Probabilistic Graphical Model; Supervisory; Templates,General Manipulation,https://arxiv.org/pdf/2309.16343
Assimilation control of a robotic exoskeleton for physical human-robot interaction,2022,RA-L,improving input quality,Kinesthetic Control,Input Blending,Assistive Robotics,https://ieeexplore.ieee.org/document/9689964
